Crypto,Date,Open,High,Low,Close
LTC,11/6/20,58.49,63.11,58.49,61.46
LTC,11/5/20,54.53,59.64,54.52,58.59
LTC,11/4/20,53.64,55.0,51.77,54.56
LTC,11/3/20,54.12,54.37,51.64,53.64
LTC,11/2/20,55.99,56.8,53.17,54.12
LTC,11/1/20,56.14,56.24,54.24,55.95
LTC,10/31/20,54.17,56.43,53.69,56.14
LTC,10/30/20,55.11,55.8,52.48,54.17
LTC,10/29/20,55.72,56.55,53.51,55.07
LTC,10/28/20,57.63,60.49,54.96,55.74
LTC,10/27/20,56.68,59.12,56.45,57.63
LTC,10/26/20,59.1,59.26,55.24,56.6
LTC,10/25/20,59.32,59.97,56.58,59.09
LTC,10/24/20,55.73,59.58,54.96,59.32
LTC,10/23/20,54.67,56.91,53.16,55.69
LTC,10/22/20,53.04,56.28,52.87,54.67
