Crypto,Date,Open,High,Low,Close
XRP,4/4/20,0.18,0.18,0.18,0.18
XRP,4/3/20,0.18,0.18,0.18,0.18
XRP,4/2/20,0.17,0.19,0.17,0.18
XRP,4/1/20,0.18,0.18,0.17,0.17
XRP,3/31/20,0.17,0.18,0.17,0.18
XRP,3/30/20,0.16,0.18,0.16,0.17
XRP,3/29/20,0.18,0.18,0.16,0.16
XRP,3/28/20,0.18,0.19,0.17,0.18
XRP,3/27/20,0.17,0.18,0.17,0.18
XRP,3/26/20,0.16,0.17,0.16,0.17
XRP,3/25/20,0.16,0.17,0.16,0.16
XRP,3/24/20,0.16,0.16,0.16,0.16
XRP,3/23/20,0.15,0.16,0.15,0.16
XRP,3/22/20,0.16,0.16,0.15,0.15
XRP,3/21/20,0.15,0.16,0.15,0.16
XRP,3/20/20,0.16,0.18,0.15,0.15
XRP,3/19/20,0.15,0.17,0.14,0.16
XRP,3/18/20,0.15,0.15,0.14,0.15
XRP,3/17/20,0.14,0.15,0.14,0.15
XRP,3/16/20,0.15,0.16,0.13,0.14
XRP,3/15/20,0.15,0.16,0.14,0.15
XRP,3/14/20,0.15,0.16,0.15,0.15
XRP,3/13/20,0.16,0.17,0.12,0.15
XRP,3/12/20,0.21,0.21,0.14,0.16
XRP,3/11/20,0.21,0.21,0.2,0.21
XRP,3/10/20,0.2,0.22,0.2,0.21
XRP,3/9/20,0.21,0.21,0.2,0.2
XRP,3/8/20,0.24,0.24,0.2,0.21
XRP,3/7/20,0.24,0.25,0.24,0.24
XRP,3/6/20,0.24,0.25,0.24,0.24
XRP,3/5/20,0.23,0.24,0.23,0.24
XRP,3/4/20,0.23,0.24,0.23,0.23
XRP,3/3/20,0.24,0.24,0.23,0.23
XRP,3/2/20,0.23,0.24,0.23,0.24
XRP,3/1/20,0.23,0.24,0.22,0.22
XRP,2/29/20,0.24,0.24,0.23,0.23
XRP,2/28/20,0.24,0.24,0.23,0.24
XRP,2/27/20,0.23,0.25,0.22,0.24
XRP,2/26/20,0.26,0.26,0.22,0.23
XRP,2/25/20,0.27,0.27,0.25,0.26
XRP,2/24/20,0.28,0.29,0.26,0.27
XRP,2/23/20,0.28,0.29,0.27,0.28
XRP,2/22/20,0.27,0.28,0.27,0.28
XRP,2/21/20,0.27,0.28,0.27,0.27
XRP,2/20/20,0.28,0.28,0.26,0.27
XRP,2/19/20,0.3,0.31,0.27,0.28
XRP,2/18/20,0.28,0.3,0.28,0.3
XRP,2/17/20,0.28,0.3,0.27,0.28
XRP,2/16/20,0.31,0.32,0.27,0.28
XRP,2/15/20,0.34,0.35,0.3,0.31
XRP,2/14/20,0.32,0.34,0.31,0.34
XRP,2/13/20,0.3,0.34,0.3,0.32
XRP,2/12/20,0.28,0.31,0.28,0.3
XRP,2/11/20,0.27,0.28,0.27,0.28
XRP,2/10/20,0.28,0.28,0.27,0.27
XRP,2/9/20,0.28,0.29,0.28,0.28
XRP,2/8/20,0.28,0.28,0.26,0.28
XRP,2/7/20,0.28,0.29,0.28,0.28
XRP,2/6/20,0.28,0.29,0.27,0.28
XRP,2/5/20,0.26,0.28,0.26,0.28
XRP,2/4/20,0.25,0.27,0.25,0.26
XRP,2/3/20,0.26,0.26,0.25,0.25
XRP,2/2/20,0.24,0.26,0.24,0.26
XRP,2/1/20,0.24,0.24,0.24,0.24
XRP,1/31/20,0.24,0.25,0.23,0.24
XRP,1/30/20,0.24,0.25,0.23,0.24
XRP,1/29/20,0.24,0.24,0.23,0.24
XRP,1/28/20,0.23,0.24,0.23,0.24
XRP,1/27/20,0.23,0.23,0.23,0.23
XRP,1/26/20,0.22,0.23,0.22,0.23
XRP,1/25/20,0.22,0.22,0.22,0.22
XRP,1/24/20,0.23,0.23,0.21,0.22
XRP,1/23/20,0.24,0.24,0.22,0.23
